,PNs,Count,Material - Mean,Material - Std,Bought Out - Mean,Bought Out - Std,Sub-Con - Mean,Sub-Con - Std,Machining - Mean,Machining - Std,Fabrication - Mean,Fabrication - Std,Test & Assy - Mean,Test & Assy - Std,Margin - Mean,Margin - Std,Total Unit Sell - No Spares - Mean,Total Unit Sell - No Spares - Std,Total Unit Sell - Spares - Mean,Total Unit Sell - Spares - Std,Tot unit Sell - Mean,Tot Unit Sell - Std,Total Ext Sell - No Spares - Mean,Total Ext Sell - No Spares - Std,Total Ext Sell - Spares - Mean,Total Ext Sell - Spares - Std,Tot Ext Sell - Mean,Tot Ext Sell - Std
66,A942708-1,2,,,2300,0,,,,,,,,,0.233333333,0,2999.999997,0,135.999685,0,3135.999682,0,2999.999997,0,271.9993701,0,3271.999367,0
67,A944052-1,2,,,427.4832893,0,,,,,,,,,0.287527851,0,599.9999997,0,0,0,599.9999997,0,599.9999997,0,0,0,599.9999997,0
69,D72123-1,2,,,230,0,2,0,,,,,,,0.233,0,302.4771838,0,0,0,302.4771838,0,604.9543677,0,0,0,604.9543677,0
76,H133702-8,2,,,2807.856,2087.175571,155,,,,,,,,0.257581084,0.003420851,3879.649965,2941.069216,5340.930283,7553.216042,9220.580249,10494.28526,3879.649965,2941.069216,5599.328779,7918.646699,9478.978744,10859.71592
77,H133702-9,2,,,1465.2,1193.030561,,,,,,,,,0.259999991,7.85046E-17,1979.999977,1612.203442,0,0,1979.999977,1612.203442,1979.999977,1612.203442,0,0,1979.999977,1612.203442
78,H1337027,2,,,1598.4,0,,,,,,,,,0.259999991,0,2159.999975,0,0,0,2159.999975,0,2159.999975,0,0,0,2159.999975,0
80,H70933-70,2,,,1598.4,0,,,,,,,,,0.259999991,0,2159.999975,0,0,0,2159.999975,0,2159.999975,0,0,0,2159.999975,0
6,164704,1,532.8,,,,,,,,,,,,0.259999991,,719.9999916,,0,,719.9999916,,719.9999916,,0,,719.9999916,
15,371145,1,2174.4,,,,,,,,,,,,0.244999998,,2879.999991,,0,,2879.999991,,2879.999991,,0,,2879.999991,
18,373938,1,2592,,,,,,,,,,,,0.404411758,,4351.999949,,0,,4351.999949,,4351.999949,,0,,4351.999949,
19,384909,1,,,1864.8,,,,,,,,,,0.259999991,,2519.99997,,0,,2519.99997,,2519.99997,,0,,2519.99997,
22,"74047, 90271, 90275, 950148",1,710.4,,,,,,,,,,,,0.259999991,,959.9999887,,0,,959.9999887,,1919.999977,,0,,1919.999977,
24,950148,1,,,133.2,,,,,,,,,,0.259999991,,179.9999979,,0,,179.9999979,,179.9999979,,0,,179.9999979,
25,A107095-1,1,,,664.3515023,,,,,,,,,,0.307967186,,960.000002,,0,,960.000002,,960.000002,,0,,960.000002,
32,A130002-5,1,,,1642.8,,95,,465,,,,8763,,0.252746709,,14674.80991,,15095.04918,,29769.85909,,14674.80991,,15635.04912,,30309.85902,
34,A131286-4,1,,,512.9799471,,,,,,,,,,0.287527851,,719.9999997,,0,,719.9999997,,719.9999997,,0,,719.9999997,
35,A131522-1,1,3942.83,,,,,,,,,,,,0.300916781,,5640.000923,,0,,5640.000923,,5640.000923,,0,,5640.000923,
41,A145670,1,,,488.675,,,,,,,,,,0.259583324,,659.999992,,0,,659.999992,,659.999992,,0,,659.999992,
42,A20075-43,1,,,5015,,385,,,,,,,,0.309021109,,7814.999955,,0,,7814.999955,,7814.999955,,0,,7814.999955,
44,A300817-58,1,,,444,,150,,50,,,,,,0.21463473,,820.0006089,,0,,820.0006089,,1640.001218,,0,,1640.001218,
50,A73227-1,1,485,,,,,,,,,,,,0.26,,655.4054054,,0,,655.4054054,,655.4054054,,0,,655.4054054,
52,A73261-1,1,,,2220,,954.6,,340,,,,,,0.246440824,,4664.000005,,0,,4664.000005,,4664.000005,,0,,4664.000005,
53,A73285-1,1,,,177.6,,63.5,,75,,,,,,0.194341908,,392.3500591,,0,,392.3500591,,392.3500591,,0,,392.3500591,
57,A930467-1,1,,,1953.6,,,,,,,,,,0.259999991,,2639.999969,,0,,2639.999969,,2639.999969,,0,,2639.999969,
60,A931584-1-CP,1,,,5017.2,,1695,,,,,,,,0.223529411,,8644.499995,,11143.42003,,19787.92003,,8644.499995,,11533.4203,,20177.9203,
61,"A931584-1-CP, H133530-1, H130151-61",1,,,,,,,,,,,100,,0,,100,,1349.460019,,1449.460019,,0,,1444.460155,,1444.460155,
68,D130429-1,1,678.56,,,,,,,,,,,,0.293167308,,960.0008707,,0,,960.0008707,,960.0008707,,0,,960.0008707,
70,H130801-78-CP,1,,,1848.75,,,,,,,,,,0.291666667,,2609.999999,,0,,2609.999999,,2609.999999,,0,,2609.999999,
71,H130801-95,1,2348.92,,,,,,,,,,,,0.300916781,,3360.00055,,0,,3360.00055,,3360.00055,,0,,3360.00055,
73,"H133702-10, H133530-3, H130954-7B47",1,,,,,1790,,,,,,,,,,1790,,6728.905348,,8518.905348,,0,,4485.905158,,4485.905158,
74,H133702-6,1,,,2131.2,,,,,,,,,,0.26,,2879.999999,,0,,2879.999999,,2879.999999,,0,,2879.999999,
79,H134011-2C35,1,,,1554,,,,,,52,,,,0.448109966,,2910,,0,,2910,,2910,,0,,2910,
81,H90759-4,1,,,310.8,,,,,,,,,,0.259999991,,419.9999951,,0,,419.9999951,,419.9999951,,0,,419.9999951,
